country,slope,r,p,n
Egypt,0.006222332444654264,0.29135568612736495,0.5753327913396383,6
India,-0.002680073818218718,-0.006686613680089399,0.9899702289617978,6
Nigeria,0.030264611874864067,0.7515907430972779,0.08489642362662178,6
United States,0.10156376394413398,0.6558486578415773,0.15727955180524802,6
