iso3,country,year,inflation_pct,fx_lcu_per_usd,gdp_per_capita_usd,fx_depreciation_pct,trends_USDT,trends_bitcoin,trends_crypto,trends_dollar,chainalysis_rank,chainalysis_score,is_hyperinflation,is_fx_crisis,trends_bitcoin_norm,trends_USDT_norm,trends_crypto_norm,crypto_demand_score,inflation_norm,fx_norm,currency_stress_score
ARG,Argentina,2019,53.5,48.1478916666667,9955.97478680428,46.50520349887246,,,,,15.0,0.29,False,False,,,,,0.06464305789733196,0.06802043891976421,0.06633174840854808
ARG,Argentina,2020,42.0,70.5391666666667,8535.59938004389,46.50520349887246,,,,,15.0,0.29,False,False,,,,,0.0,0.06802043891976421,0.034010219459882106
ARG,Argentina,2021,48.4,94.9907416666667,10738.0179223384,34.663827424480466,,,,,15.0,0.29,False,False,,,,,0.03597526700373257,0.0,0.017987633501866284
ARG,Argentina,2022,72.4,130.61655,13962.1894087223,37.5045059215858,,,,,15.0,0.29,False,False,,,,,0.17088251826772977,0.016317714849113298,0.09360011655842153
ARG,Argentina,2023,133.5,296.258041666667,14261.8465667948,126.81508711313154,,,,,15.0,0.29,False,True,,,,,0.5143338954439891,0.5293446548485763,0.5218392751462827
ARG,Argentina,2024,219.9,914.694883333333,13969.7836603737,208.7493855652015,,,,,15.0,0.29,False,True,,,,,0.9999999999943789,0.9999999999942557,0.9999999999943173
EGY,Egypt,2019,13.9,16.7705818428763,2962.98892023003,-6.030851736007126,0.0,37.75,13.25,13.5,44.0,0.18,False,False,0.24749999999257502,0.0,0.0,0.09899999999703002,0.32638888887755596,0.0,0.16319444443877798
EGY,Egypt,2020,5.7,15.7591729166667,3511.11381026379,-6.030851736007126,1.5833333333333333,48.333333333333336,16.416666666666668,12.5,44.0,0.18,False,False,0.5649999999830501,0.023058252426848662,0.050198150593656066,0.2452629310826907,0.04166666666521992,0.0,0.02083333333260996
EGY,Egypt,2021,4.5,15.6445272777113,3827.35415374308,-0.7274851260382631,10.25,62.833333333333336,52.66666666666666,12.083333333333334,44.0,0.18,False,False,0.9999999999700001,0.1492718446580203,0.6248348744947185,0.5846757127501518,0.0,0.0805092440704628,0.0402546220352314
EGY,Egypt,2022,8.5,19.1604397412204,4233.30783744856,22.47375328827104,32.166666666666664,51.25,74.0,32.583333333333336,44.0,0.18,False,False,0.6524999999804251,0.46844660193492543,0.9630118890204015,0.6409810185702205,0.13888888888406636,0.43272215025037175,0.28580551956721906
EGY,Egypt,2023,24.4,30.6264136980311,3456.78968456253,59.84191444282787,44.583333333333336,29.5,52.083333333333336,33.5,44.0,0.18,False,False,0.0,0.6492718446507387,0.6155878467537821,0.38282630721105193,0.6909722221982302,0.9999999999848191,0.8454861110915246
EGY,Egypt,2024,33.3,45.29926,3338.47371395895,47.90912330330135,68.66666666666667,40.333333333333336,76.33333333333333,28.666666666666668,44.0,0.18,False,False,0.3249999999902501,0.9999999999854369,0.999999999984148,0.7299999999871044,0.9999999999652778,0.8188509177229696,0.9094254588441237
IND,India,2019,4.8,70.4203405359551,2041.42863698585,5.224664237134102,0.8333333333333334,11.416666666666666,4.0,63.25,,,False,False,0.0,0.0,0.0,0.0,0.09523809519274382,0.830612213563046,0.46292515437789494
IND,India,2020,6.2,74.0995668836052,1907.04251637669,5.224664237134102,2.75,17.333333333333332,4.833333333333333,68.16666666666667,,,False,False,0.15367965367566203,0.027980535279396875,0.020080321284656692,0.0766801398389549,0.7619047615419502,0.830612213563046,0.7962584875524981
IND,India,2021,5.5,73.9180128154351,2239.61384367482,-0.2450136698575855,27.75,49.91666666666666,45.5,65.16666666666667,,,False,False,0.9999999999740261,0.392944038923704,0.9999999999759037,0.7571776155542729,0.42857142836734696,0.0,0.21428571418367348
IND,India,2022,6.7,78.6044905829916,2347.44829434623,6.340102485246857,39.66666666666666,29.25,39.333333333333336,85.75,,,False,False,0.46320346319143213,0.5669099756608235,0.8514056224694442,0.5823265000347911,0.9999999995238095,0.9999999998481424,0.9999999996859759
