asset,date,price_usd,tx_volume_usd
btc,2019-04-18,5298.3857421875,70237997172983.54
btc,2019-04-19,5303.8125,73087802031372.19
btc,2019-04-20,5337.88623046875,70298080167810.695
btc,2019-04-21,5314.53125,72978315243265.47
btc,2019-04-22,5399.365234375,78839542285360.94
btc,2019-04-23,5572.3623046875,88418389577881.53
btc,2019-04-24,5464.86669921875,93165230009364.14
btc,2019-04-25,5210.515625,79878681233062.25
btc,2019-04-26,5279.34814453125,88756971386632.9
btc,2019-04-27,5268.291015625,69074010573694.09
btc,2019-04-28,5285.13916015625,67755442048057.64
btc,2019-04-29,5247.3525390625,72074961852988.48
btc,2019-04-30,5350.7265625,74262544406098.3
btc,2019-05-01,5402.697265625,73906349795677.19
btc,2019-05-02,5505.28369140625,80621911800743.48
btc,2019-05-03,5768.28955078125,107986879691084.34
btc,2019-05-04,5831.16748046875,102440671906703.6
btc,2019-05-05,5795.70849609375,85827666038505.25
btc,2019-05-06,5746.80712890625,90438491112049.62
btc,2019-05-07,5829.50146484375,105084977863746.11
btc,2019-05-08,5982.45751953125,91654870380755.33
btc,2019-05-09,6174.52880859375,103637276632250.39
btc,2019-05-10,6378.84912109375,123876454922916.97
btc,2019-05-11,7204.771484375,207984189891397.16
btc,2019-05-12,6972.37158203125,193646002488703.4
btc,2019-05-13,7814.9150390625,224113571612601.2
btc,2019-05-14,7994.416015625,256072754687255.88
btc,2019-05-15,8205.16796875,232568207433817.03
btc,2019-05-16,7884.9091796875,261520340670935.94
btc,2019-05-17,7343.8955078125,220806298452823.1
btc,2019-05-18,7271.2080078125,155271459450737.25
btc,2019-05-19,8197.689453125,212340011967700.56
btc,2019-05-20,7978.30908203125,190230049392365.3
btc,2019-05-21,7963.32763671875,200096484989049.38
btc,2019-05-22,7680.06640625,189847195511515.53
btc,2019-05-23,7881.8466796875,192767174065826.2
btc,2019-05-24,7987.37158203125,207025698358972.53
btc,2019-05-25,8052.5439453125,179223965626724.75
btc,2019-05-26,8673.2158203125,231383792247084.9
btc,2019-05-27,8805.7783203125,246120091288883.78
btc,2019-05-28,8719.9619140625,211257813303306.97
btc,2019-05-29,8659.4873046875,203268301762413.38
btc,2019-05-30,8319.47265625,243315694570279.44
btc,2019-05-31,8574.501953125,217493879402185.1
btc,2019-06-01,8564.0166015625,192590204891792.8
btc,2019-06-02,8742.9580078125,177186675657602.88
btc,2019-06-03,8208.9951171875,180634926934220.5
btc,2019-06-04,7707.77099609375,189686175055035.5
btc,2019-06-05,7824.2314453125,170262501638243.2
btc,2019-06-06,7822.0234375,152330864280491.12
btc,2019-06-07,8043.951171875,153972673830357.8
btc,2019-06-08,7954.1279296875,131423850977505.73
btc,2019-06-09,7688.0771484375,127704547184934.84
btc,2019-06-10,8000.32958984375,149520360731265.62
btc,2019-06-11,7927.71435546875,135621628699938.86
btc,2019-06-12,8145.857421875,155051776371167.1
btc,2019-06-13,8230.923828125,153666468143209.47
btc,2019-06-14,8693.8330078125,172408818655489.66
btc,2019-06-15,8838.375,162370080788847.75
btc,2019-06-16,8994.48828125,210008262156465.53
btc,2019-06-17,9320.3525390625,145052198433559.25
btc,2019-06-18,9081.7626953125,143929687233303.3
btc,2019-06-19,9273.521484375,144173676047725.94
btc,2019-06-20,9527.16015625,170029548470539.66
btc,2019-06-21,10144.556640625,209221423835653.03
btc,2019-06-22,10701.69140625,320999426089671.94
btc,2019-06-23,10855.37109375,227944626526935.34
btc,2019-06-24,11011.1025390625,212202140288181.34
btc,2019-06-25,11790.9169921875,293354295120414.25
btc,2019-06-26,13016.2314453125,587106662490277.8
btc,2019-06-27,11182.806640625,447060375399185.8
btc,2019-06-28,12407.33203125,435345460834832.75
btc,2019-06-29,11959.37109375,357871755724701.9
btc,2019-06-30,10817.1552734375,294837505990931.56
btc,2019-07-01,10583.134765625,310917570039843.9
btc,2019-07-02,10801.677734375,335023704841987.0
btc,2019-07-03,11961.26953125,368365168868136.7
btc,2019-07-04,11215.4375,290707437708734.44
btc,2019-07-05,10978.4599609375,261709800515085.97
btc,2019-07-06,11208.55078125,236411025513160.28
btc,2019-07-07,11450.8466796875,221791956348005.62
btc,2019-07-08,12285.9580078125,288505641129284.2
btc,2019-07-09,12573.8125,354178163744916.44
btc,2019-07-10,12156.5126953125,408794033209749.6
btc,2019-07-11,11358.662109375,324804665137564.75
btc,2019-07-12,11815.986328125,278085608325973.9
btc,2019-07-13,11392.37890625,239725459025392.25
btc,2019-07-14,10256.05859375,230617733549318.56
btc,2019-07-15,10895.08984375,276561474918256.25
btc,2019-07-16,9477.6416015625,228896409033449.56
btc,2019-07-17,9693.802734375,238175972695075.44
btc,2019-07-18,10666.482421875,268656955667224.38
btc,2019-07-19,10530.732421875,218274980264741.9
btc,2019-07-20,10767.1396484375,217567447196118.56
btc,2019-07-21,10599.10546875,181568829110641.62
btc,2019-07-22,10343.1064453125,168948592167058.9
btc,2019-07-23,9900.767578125,176747680991474.7
btc,2019-07-24,9811.92578125,170715089855151.03
btc,2019-07-25,9911.841796875,156824686033815.75
btc,2019-07-26,9870.3037109375,143077104454245.38
btc,2019-07-27,9477.677734375,159393778980306.75
btc,2019-07-28,9552.8603515625,131243759213243.16
btc,2019-07-29,9519.1455078125,131282774792677.16
btc,2019-07-30,9607.423828125,132868857008045.19
btc,2019-07-31,10085.6279296875,167739329160643.16
btc,2019-08-01,10399.6689453125,178513831057639.6
btc,2019-08-02,10518.1748046875,183953348730101.66
btc,2019-08-03,10821.7265625,166142559730320.62
btc,2019-08-04,10970.1845703125,181346966925806.75
btc,2019-08-05,11805.6533203125,281871646830245.0
btc,2019-08-06,11478.1689453125,271287758762129.6
btc,2019-08-07,11941.96875,265051860757426.97
btc,2019-08-08,11966.4072265625,233124660062812.25
btc,2019-08-09,11862.9365234375,217566136735961.06
btc,2019-08-10,11354.0244140625,205795728258798.72
btc,2019-08-11,11523.5791015625,181777217965107.53
btc,2019-08-12,11382.6162109375,155340819795292.94
btc,2019-08-13,10895.830078125,181758827986793.2
btc,2019-08-14,10051.7041015625,200941991333782.72
btc,2019-08-15,10311.5458984375,236125276201645.4
btc,2019-08-16,10374.3388671875,209854275089550.78
btc,2019-08-17,10231.744140625,140973335889320.9
btc,2019-08-18,10345.810546875,134493611433312.1
btc,2019-08-19,10916.0537109375,175074557836575.7
btc,2019-08-20,10763.232421875,162019822115108.66
btc,2019-08-21,10138.0498046875,197419103228885.53
btc,2019-08-22,10131.0556640625,173215813936937.56
btc,2019-08-23,10407.96484375,162645515217929.5
btc,2019-08-24,10159.9609375,156981867848115.25
btc,2019-08-25,10138.517578125,143499124038745.72
btc,2019-08-26,10370.8203125,191223968268025.0
btc,2019-08-27,10185.5,150364559092806.5
btc,2019-08-28,9754.4228515625,171714814600786.0
btc,2019-08-29,9510.2001953125,162109717049483.34
btc,2019-08-30,9598.173828125,130489706976875.56
btc,2019-08-31,9630.6640625,110317392522357.62
btc,2019-09-01,9757.970703125,111683447158962.06
btc,2019-09-02,10346.7607421875,178461987692793.38
btc,2019-09-03,10623.5400390625,205936452410084.4
btc,2019-09-04,10594.4931640625,177380047443360.56
btc,2019-09-05,10575.533203125,153887116563478.28
btc,2019-09-06,10353.302734375,202268073121155.56
btc,2019-09-07,10517.2548828125,160991474812711.38
btc,2019-09-08,10441.2763671875,142738173290702.56
btc,2019-09-09,10334.974609375,181853627936280.44
btc,2019-09-10,10115.9755859375,150796922372341.8
btc,2019-09-11,10178.3720703125,157032569874208.2
btc,2019-09-12,10410.126953125,159520245833576.4
btc,2019-09-13,10360.546875,146185914365244.12
btc,2019-09-14,10358.048828125,139509588190400.0
btc,2019-09-15,10347.712890625,124621992768631.72
btc,2019-09-16,10276.7939453125,155797920441148.84
btc,2019-09-17,10241.2724609375,156738612947063.34
btc,2019-09-18,10198.248046875,164898214774856.72
btc,2019-09-19,10266.4150390625,204688613262385.56
btc,2019-09-20,10181.6416015625,150018238193753.56
btc,2019-09-21,10019.716796875,134517371318606.58
btc,2019-09-22,10070.392578125,132925674493374.25
btc,2019-09-23,9729.32421875,147349889563216.62
btc,2019-09-24,8620.56640625,215539045050468.7
btc,2019-09-25,8486.9931640625,184547360886307.03
btc,2019-09-26,8118.9677734375,156356748115634.62
btc,2019-09-27,8251.845703125,135404050570969.56
btc,2019-09-28,8245.9150390625,116606744015462.22
btc,2019-09-29,8104.185546875,105635052834033.95
btc,2019-09-30,8293.8681640625,141953486439217.3
btc,2019-10-01,8343.2763671875,127696709989371.77
btc,2019-10-02,8393.0419921875,110164655711476.98
btc,2019-10-03,8259.9921875,112904374570657.12
btc,2019-10-04,8205.939453125,107821582262160.14
btc,2019-10-05,8151.50048828125,99452358858619.52
btc,2019-10-06,7988.15576171875,105130762429888.48
btc,2019-10-07,8245.623046875,148501548708565.84
btc,2019-10-08,8228.783203125,128305360365211.69
btc,2019-10-09,8595.740234375,166627928752807.28
btc,2019-10-10,8586.4736328125,151282165297012.1
btc,2019-10-11,8321.7568359375,163142892441570.7
btc,2019-10-12,8336.5556640625,121152175685953.1
btc,2019-10-13,8321.005859375,114898829204865.12
btc,2019-10-14,8374.6865234375,126888123714141.86
btc,2019-10-15,8205.369140625,124889104118191.73
btc,2019-10-16,8047.52685546875,129337010811923.66
btc,2019-10-17,8103.9111328125,115991703424678.53
btc,2019-10-18,7973.20751953125,124793395890691.75
btc,2019-10-19,7988.560546875,110224765540364.3
btc,2019-10-20,8222.078125,127477150181611.66
btc,2019-10-21,8243.720703125,130817533559335.56
btc,2019-10-22,8078.203125,135741099514973.2
btc,2019-10-23,7514.671875,164893535362211.9
btc,2019-10-24,7493.48876953125,121909387054755.17
btc,2019-10-25,8660.7001953125,248605966278379.7
btc,2019-10-26,9244.97265625,411366666410715.7
btc,2019-10-27,9551.71484375,311320278858967.75
btc,2019-10-28,9256.1484375,286461645234642.9
btc,2019-10-29,9427.6875,267998797877305.7
btc,2019-10-30,9205.7265625,255058753693133.9
btc,2019-10-31,9199.5849609375,244558583057588.0
btc,2019-11-01,9261.1044921875,225273505378267.1
btc,2019-11-02,9324.7177734375,198081962042590.56
btc,2019-11-03,9235.3544921875,195163550729239.78
btc,2019-11-04,9412.6123046875,246330470197405.78
btc,2019-11-05,9342.52734375,244761221399156.16
btc,2019-11-06,9360.8798828125,216553619477669.78
btc,2019-11-07,9267.5615234375,210377203833578.84
btc,2019-11-08,8804.880859375,214249499092644.06
btc,2019-11-09,8813.58203125,154930702843022.9
btc,2019-11-10,9055.5263671875,186434451327939.25
btc,2019-11-11,8757.7880859375,177481048733155.16
btc,2019-11-12,8815.662109375,179044061966734.84
btc,2019-11-13,8808.2626953125,154547622794939.16
btc,2019-11-14,8708.0947265625,166191723534114.03
btc,2019-11-15,8491.9921875,185098734863790.8
btc,2019-11-16,8550.7607421875,141048131597326.2
btc,2019-11-17,8577.9755859375,160139128681149.2
btc,2019-11-18,8309.2861328125,179309996416592.94
btc,2019-11-19,8206.1455078125,173015202804621.97
btc,2019-11-20,8027.26806640625,166680605819195.44
btc,2019-11-21,7642.75,172070733523710.25
btc,2019-11-22,7296.57763671875,249851715586292.44
btc,2019-11-23,7397.796875,155419755406591.6
btc,2019-11-24,7047.9169921875,214492903633175.16
btc,2019-11-25,7146.1337890625,305034373415325.1
btc,2019-11-26,7218.37109375,152520612029603.22
btc,2019-11-27,7531.66357421875,180695249608665.6
btc,2019-11-28,7463.10595703125,142173039806528.9
btc,2019-11-29,7761.24365234375,152971748747508.44
btc,2019-11-30,7569.6298828125,129881183987223.23
btc,2019-12-01,7424.29248046875,138988015189687.27
btc,2019-12-02,7321.98828125,125074501869167.47
btc,2019-12-03,7320.1455078125,108319748978864.75
btc,2019-12-04,7252.03466796875,157109826192563.12
btc,2019-12-05,7448.3076171875,140147990951706.52
btc,2019-12-06,7546.99658203125,136634345338428.92
btc,2019-12-07,7556.23779296875,116770476120116.55
btc,2019-12-08,7564.34521484375,116565864491516.11
btc,2019-12-09,7400.8994140625,132269031760057.34
btc,2019-12-10,7278.11962890625,132818632148851.98
btc,2019-12-11,7217.42724609375,118008476985790.77
btc,2019-12-12,7243.13427734375,137091383540489.42
btc,2019-12-13,7269.6845703125,124498705587948.81
btc,2019-12-14,7124.673828125,122095747209131.03
btc,2019-12-15,7152.3017578125,120738934371010.19
btc,2019-12-16,6932.48046875,140128071408024.4
btc,2019-12-17,6640.51513671875,148507180417603.12
btc,2019-12-18,7276.802734375,231668096003942.38
btc,2019-12-19,7202.84423828125,186586830662740.62
btc,2019-12-20,7218.81640625,163389356357414.3
btc,2019-12-21,7191.15869140625,138879627376149.81
btc,2019-12-22,7511.5888671875,173777137757816.25
btc,2019-12-23,7355.62841796875,204720291037262.4
btc,2019-12-24,7322.5322265625,168356893804809.25
btc,2019-12-25,7275.15576171875,156848758104552.4
btc,2019-12-26,7238.966796875,164954409036183.47
btc,2019-12-27,7290.08837890625,166048974699092.1
btc,2019-12-28,7317.990234375,156353786555117.34
btc,2019-12-29,7422.65283203125,166603355647421.53
btc,2019-12-30,7292.9951171875,166820930593799.94
btc,2019-12-31,7193.59912109375,152273718546643.06
btc,2020-01-01,7200.17431640625,133676024278401.92
btc,2020-01-02,6985.47021484375,145312334451451.16
btc,2020-01-03,7344.88427734375,206475575044783.84
btc,2020-01-04,7410.65673828125,136684163206766.05
btc,2020-01-05,7411.3173828125,146188784517538.03
btc,2020-01-06,7769.21923828125,180838379402448.66
btc,2020-01-07,8163.6923828125,234847317080378.0
btc,2020-01-08,8079.86279296875,255909933163371.16
btc,2020-01-09,7879.0712890625,189460073097731.22
btc,2020-01-10,8166.55419921875,234499205270037.06
btc,2020-01-11,8037.53759765625,205127323906679.47
btc,2020-01-12,8192.494140625,187636284736508.25
btc,2020-01-13,8144.1943359375,183105193880598.28
btc,2020-01-14,8827.7646484375,395852716512641.1
btc,2020-01-15,8807.0107421875,353186095554719.06
btc,2020-01-16,8723.7861328125,273176481332799.0
btc,2020-01-17,8929.0380859375,324768217255304.9
btc,2020-01-18,8942.80859375,289190510951469.1
btc,2020-01-19,8706.2451171875,297904379273883.6
btc,2020-01-20,8657.642578125,228755484685067.22
btc,2020-01-21,8745.89453125,210753480781343.3
btc,2020-01-22,8680.8759765625,196189568411736.4
btc,2020-01-23,8406.515625,216641630635550.7
btc,2020-01-24,8445.4345703125,206050978113258.06
btc,2020-01-25,8367.84765625,164405877253866.34
btc,2020-01-26,8596.830078125,190657736136447.84
btc,2020-01-27,8909.8193359375,255242609537096.1
btc,2020-01-28,9358.58984375,321923740007667.94
btc,2020-01-29,9316.6298828125,285858410480535.5
btc,2020-01-30,9508.9931640625,307889719880754.75
btc,2020-01-31,9350.529296875,275209357397481.75
btc,2020-02-01,9392.875,243488272134866.0
btc,2020-02-02,9344.365234375,288140388294535.1
btc,2020-02-03,9293.521484375,287486690506121.2
btc,2020-02-04,9180.962890625,274448210379231.53
btc,2020-02-05,9613.423828125,338604599281780.9
btc,2020-02-06,9729.8017578125,366120995136353.5
btc,2020-02-07,9795.943359375,338182591697230.75
btc,2020-02-08,9865.119140625,346976402131406.3
btc,2020-02-09,10116.673828125,362256689610690.7
btc,2020-02-10,9856.611328125,388217895931784.94
btc,2020-02-11,10208.236328125,384320287538197.3
btc,2020-02-12,10326.0546875,448608257208945.7
btc,2020-02-13,10214.3798828125,504141662527029.1
btc,2020-02-14,10312.1162109375,446909216418851.9
btc,2020-02-15,9889.4248046875,433800161304668.6
btc,2020-02-16,9934.43359375,430903874583517.9
btc,2020-02-17,9690.142578125,445730069973110.94
btc,2020-02-18,10141.99609375,479422540278888.7
btc,2020-02-19,9633.38671875,452692298561552.25
btc,2020-02-20,9608.4755859375,431663266179103.25
btc,2020-02-21,9686.44140625,396471350210406.2
btc,2020-02-22,9663.181640625,346309346704389.75
btc,2020-02-23,9924.515625,408743019603572.0
btc,2020-02-24,9650.1748046875,435034672935328.9
btc,2020-02-25,9341.705078125,397165012103179.56
btc,2020-02-26,8820.5224609375,444731190227829.94
btc,2020-02-27,8784.494140625,399432667655799.6
btc,2020-02-28,8672.455078125,386838765206448.4
btc,2020-02-29,8599.5087890625,307796994263703.1
btc,2020-03-01,8562.4541015625,302675596847341.7
btc,2020-03-02,8869.669921875,380133425627019.2
btc,2020-03-03,8787.7861328125,372485393507248.0
btc,2020-03-04,8755.24609375,304215965199110.25
btc,2020-03-05,9078.7626953125,360409217151722.5
btc,2020-03-06,9122.5458984375,372445138241506.9
btc,2020-03-07,8909.9541015625,322691187296185.0
btc,2020-03-08,8108.1162109375,324106557308740.25
btc,2020-03-09,7923.64453125,371912070147363.4
btc,2020-03-10,7909.7294921875,333900854061704.7
btc,2020-03-11,7911.43017578125,306035975355779.5
btc,2020-03-12,4970.7880859375,268324916658154.44
btc,2020-03-13,5563.70703125,412586554208481.1
btc,2020-03-14,5200.3662109375,188016671417140.03
btc,2020-03-15,5392.31494140625,183327328276660.44
btc,2020-03-16,5014.47998046875,227497060286612.12
btc,2020-03-17,5225.62939453125,201827618215620.72
btc,2020-03-18,5238.4384765625,198425768688269.12
btc,2020-03-19,6191.19287109375,315755367122150.75
btc,2020-03-20,6198.7783203125,337479939960567.94
btc,2020-03-21,6185.06640625,262830629485944.38
btc,2020-03-22,5830.2548828125,233791266149529.25
btc,2020-03-23,6416.31494140625,298306775285404.3
btc,2020-03-24,6734.8037109375,324765102942282.25
btc,2020-03-25,6681.06298828125,297909319453984.6
btc,2020-03-26,6716.4404296875,237223316851110.03
btc,2020-03-27,6469.79833984375,223761846897319.3
btc,2020-03-28,6242.19384765625,217760342493320.66
btc,2020-03-29,5922.04296875,168030216875414.2
btc,2020-03-30,6429.841796875,238557749708536.1
btc,2020-03-31,6438.64453125,211100418115382.5
btc,2020-04-01,6606.7763671875,266559815554681.8
btc,2020-04-02,6793.62451171875,323788533752359.6
btc,2020-04-03,6733.38720703125,262443899488651.0
btc,2020-04-04,6867.52734375,227905684029995.34
btc,2020-04-05,6791.12939453125,200409011817746.3
btc,2020-04-06,7271.78125,341024031662395.5
btc,2020-04-07,7176.41455078125,317509572795873.25
btc,2020-04-08,7334.0986328125,275492577161315.66
btc,2020-04-09,7302.08935546875,254223257200836.84
btc,2020-04-10,6865.4931640625,299492316627561.4
btc,2020-04-11,6859.0830078125,214154879180670.06
btc,2020-04-12,6971.091796875,249283228579231.97
btc,2020-04-13,6845.03759765625,264350619684206.12
btc,2020-04-14,6842.427734375,233398179988974.22
btc,2020-04-15,6642.10986328125,214462509167697.88
btc,2020-04-16,7116.80419921875,332947175801702.2
btc,2020-04-17,7096.1845703125,230721254644180.22
btc,2020-04-18,7257.6650390625,235490824764947.0
btc,2020-04-19,7189.4248046875,225109591384505.62
btc,2020-04-20,6881.95849609375,259774071454874.0
btc,2020-04-21,6880.3232421875,224227955975016.06
btc,2020-04-22,7117.20751953125,236641127913146.72
btc,2020-04-23,7429.724609375,323198832900250.0
btc,2020-04-24,7550.90087890625,261536976775216.84
btc,2020-04-25,7569.93603515625,249365361653238.47
btc,2020-04-26,7679.8671875,253974394360986.66
btc,2020-04-27,7795.60107421875,281905654264263.9
btc,2020-04-28,7807.05859375,259100347710273.62
btc,2020-04-29,8801.0380859375,529831753252114.6
btc,2020-04-30,8658.5537109375,579816841613780.5
btc,2020-05-01,8864.7666015625,390655991830036.56
btc,2020-05-02,8988.5966796875,360751832857301.4
btc,2020-05-03,8897.46875,419086661654878.3
btc,2020-05-04,8912.654296875,407475826077244.1
btc,2020-05-05,9003.0703125,388468643231270.0
btc,2020-05-06,9268.76171875,457616255568506.25
btc,2020-05-07,9951.5185546875,608164173569804.2
btc,2020-05-08,9842.666015625,509660609016634.2
btc,2020-05-09,9593.896484375,446750552621347.8
btc,2020-05-10,8756.4306640625,554503417796830.25
btc,2020-05-11,8601.7958984375,491333367162372.75
btc,2020-05-12,8804.4775390625,371044609954353.94
btc,2020-05-13,9269.9873046875,422323416718334.7
btc,2020-05-14,9733.7216796875,549243814183991.06
btc,2020-05-15,9328.197265625,449234808182496.3
btc,2020-05-16,9377.013671875,339117509047981.75
btc,2020-05-17,9670.7392578125,387644336506670.8
btc,2020-05-18,9726.5751953125,406834821403299.44
btc,2020-05-19,9729.0380859375,381906472279590.75
btc,2020-05-20,9522.9814453125,348029162587612.0
btc,2020-05-21,9081.76171875,357150819264934.75
btc,2020-05-22,9182.5771484375,273739729345679.03
btc,2020-05-23,9209.287109375,255353886402218.47
btc,2020-05-24,8790.3681640625,285852253261730.56
btc,2020-05-25,8906.9345703125,278681569576095.75
btc,2020-05-26,8835.052734375,261377851780353.53
btc,2020-05-27,9181.017578125,300591444814512.25
btc,2020-05-28,9525.7509765625,327372180277280.3
btc,2020-05-29,9439.1240234375,310515484207944.5
btc,2020-05-30,9700.4140625,317426408224594.3
btc,2020-05-31,9461.05859375,262764726860067.47
btc,2020-06-01,10167.2685546875,357876679988232.7
btc,2020-06-02,9529.8037109375,372970330384244.7
btc,2020-06-03,9656.7177734375,241489976323869.62
btc,2020-06-04,9800.63671875,254050194604923.2
btc,2020-06-05,9665.533203125,227233096271051.62
btc,2020-06-06,9653.6796875,197305952488030.94
btc,2020-06-07,9758.8525390625,244120144233772.44
btc,2020-06-08,9771.4892578125,209953602177347.22
btc,2020-06-09,9795.7001953125,232332877181824.28
btc,2020-06-10,9870.0947265625,253726257316652.53
btc,2020-06-11,9321.78125,281957254585052.5
btc,2020-06-12,9480.84375,214367229266009.53
btc,2020-06-13,9475.27734375,166426825289642.06
btc,2020-06-14,9386.7880859375,178271370671461.88
btc,2020-06-15,9450.7021484375,252330957213584.56
btc,2020-06-16,9538.0244140625,205692620401815.28
btc,2020-06-17,9480.2548828125,191289832604363.78
btc,2020-06-18,9411.8408203125,167249192587976.72
btc,2020-06-19,9288.0185546875,182344452487580.7
btc,2020-06-20,9332.3408203125,159868052246450.75
btc,2020-06-21,9303.6298828125,142571626289126.94
btc,2020-06-22,9648.7177734375,203626631688525.9
btc,2020-06-23,9629.658203125,163766139663612.75
btc,2020-06-24,9313.6103515625,176602035128822.66
btc,2020-06-25,9264.8134765625,172474218190507.62
btc,2020-06-26,9162.91796875,168061346891061.56
btc,2020-06-27,9045.390625,156241874789489.38
btc,2020-06-28,9143.58203125,133138516240489.53
